x,acc_throughput
0,127.77777777777777
1,142.7777777777778
2,130.75396825396825
3,137.5
4,152.7777777777778
5,132.53968253968253
6,132.53968253968253
7,137.5
8,134.25925925925924
9,138.61111111111111
10,153.3333333333333
11,127.77777777777777
12,137.5
13,129.16666666666666
14,149.44444444444443
15,133.61111111111111
16,141.11111111111111
17,138.88888888888889
18,136.90476190476193
19,133.79629629629628
20,127.77777777777777
21,161.1111111111111
22,127.77777777777777
23,127.77777777777777
24,131.34920634920636
25,127.77777777777777
26,163.63756613756615
27,127.77777777777777
28,127.77777777777777
29,143.45238095238096
30,127.77777777777777
31,127.77777777777777
32,127.77777777777777
33,127.77777777777777
34,127.77777777777777
35,152.7777777777778
36,127.77777777777777
37,145.83333333333334
38,138.24074074074073
39,127.77777777777777
40,163.88888888888889
41,130.55555555555554
42,141.66666666666666
43,160.78042328042326
44,129.56349206349205
45,145.83333333333334
46,127.77777777777777
47,240.38359788359787
48,127.77777777777777
49,141.11111111111111
50,127.77777777777777
51,139.44444444444443
52,130.35714285714286
53,127.77777777777777
54,138.88888888888889
55,129.62962962962962
56,141.11111111111111
57,127.77777777777777
58,152.4074074074074
59,127.77777777777777
60,153.90211640211638
61,142.7777777777778
62,131.34920634920636
63,127.77777777777777
64,127.77777777777777
65,131.11111111111111
66,136.11111111111111
67,141.53439153439152
68,130.95238095238093
69,136.1111111111111
70,147.77777777777774
71,139.8148148148148
72,127.77777777777777
73,130.35714285714286
74,127.77777777777777
75,138.61111111111111
76,130.95238095238093
77,132.4074074074074
78,130.95238095238093
79,127.77777777777777
80,149.56349206349205
81,127.77777777777777
82,145.83333333333334
83,146.2962962962963
84,127.77777777777777
85,142.26190476190476
86,127.77777777777777
87,129.62962962962962
88,130.55555555555554
89,127.77777777777777
90,127.77777777777777
91,127.77777777777777
92,127.77777777777777
93,127.77777777777777
94,127.77777777777777
95,127.77777777777777
96,147.2222222222222
97,131.15079365079364
98,127.77777777777777
99,129.76190476190476
100,147.2222222222222
101,127.77777777777777
102,127.77777777777777
103,147.77777777777774
104,138.88888888888889
105,127.77777777777777
106,155.2777777777778
107,127.77777777777777
108,127.77777777777777
109,127.77777777777777
110,127.77777777777777
111,129.16666666666666
112,134.25925925925924
113,150.46296296296296
114,129.36507936507937
115,127.77777777777777
116,166.38888888888889
117,154.56349206349205
118,141.11111111111111
119,133.33333333333334
120,127.77777777777777
121,177.31481481481478
122,127.77777777777777
123,163.55820105820104
124,137.69841269841268
125,127.77777777777777
126,140.27777777777777
127,156.0185185185185
128,127.77777777777777
129,135.5952380952381
130,127.77777777777777
131,143.45238095238093
132,162.89682539682542
133,127.77777777777777
134,163.37301587301587
135,153.70370370370372
136,127.77777777777777
137,152.81746031746033
138,127.77777777777777
139,145.95238095238096
140,152.77777777777777
141,135.27777777777777
142,148.61111111111111
143,129.16666666666666
144,127.77777777777777
145,168.5185185185185
146,131.34920634920636
147,151.38888888888889
148,127.77777777777777
149,132.40740740740742
150,150.0
151,127.77777777777777
152,151.3888888888889
153,127.77777777777777
154,176.11111111111111
155,127.77777777777777
156,146.82539682539684
157,187.03703703703704
158,127.77777777777777
159,136.57407407407405
160,172.2222222222222
161,164.48412698412696
162,127.77777777777777
163,127.77777777777777
164,243.05555555555557
165,127.77777777777777
166,127.77777777777777
167,135.27777777777777
168,129.76190476190476
169,127.77777777777777
170,137.5
171,157.4074074074074
172,137.03703703703704
173,134.1931216931217
174,139.44444444444443
175,127.77777777777777
176,135.9126984126984
177,151.66666666666666
178,131.15079365079364
179,134.25925925925924
180,127.77777777777777
181,140.93915343915344
182,131.34920634920636
183,127.77777777777777
184,127.77777777777777
185,141.94444444444446
186,127.77777777777777
187,153.7037037037037
188,127.77777777777777
189,151.94444444444443
