x,acc_delay
518,34.4
519,32.0
520,36.0
521,31.9
522,35.0
523,36.0
524,34.1
525,35.55
526,35.4
527,32.35
528,33.2
529,30.500000000000004
530,30.599999999999998
531,36.0
532,33.55
533,36.0
534,36.0
535,31.65
536,36.0
537,36.0
538,35.25
539,33.0
540,33.25
541,34.5
542,34.55
543,34.85
544,36.0
545,34.05
546,33.349999999999994
547,34.2
548,34.3
549,30.3
550,32.75
551,33.4
552,36.0
553,36.0
554,36.0
555,34.25
556,34.25
557,34.349999999999994
558,32.4
559,34.0
560,29.6
561,34.8
562,35.0
563,33.25
564,35.55
565,33.25
566,33.85
567,32.25
568,36.0
569,35.5
570,32.1
571,36.0
572,32.5
573,33.95
574,36.0
575,36.0
576,34.2
577,34.65
578,34.1
579,33.75
580,34.05
581,35.8
582,32.0
583,33.4
584,33.5
585,34.75
586,36.0
587,35.25
588,33.150000000000006
589,36.0
590,35.0
591,33.4
592,36.0
593,30.9
594,36.0
595,33.7
596,31.75
597,36.0
598,35.5
599,35.5
600,35.0
601,34.05
602,33.1
603,29.3
604,36.0
605,34.7
606,32.2
607,34.2
608,33.1
609,33.4
610,36.0
611,31.9
612,35.1
613,34.65
614,34.75
615,34.05
616,36.0
617,35.3
618,33.3
619,34.5
620,35.25
621,34.5
622,32.85
623,32.55
624,33.0
625,33.55
626,35.0
627,36.0
628,36.0
629,36.0
630,36.0
631,33.75
632,34.7
633,32.2
634,29.85
635,30.7
636,34.099999999999994
637,32.4
638,35.0
639,34.25
640,29.25
641,35.400000000000006
642,32.05
643,34.0
644,35.75
645,30.799999999999997
646,34.8
647,36.0
648,33.7
649,32.5
650,33.0
651,34.2
652,33.900000000000006
653,31.400000000000002
654,33.6
655,32.95
656,35.75
657,36.0
658,34.8
659,33.5
660,30.9
661,36.0
662,33.15
663,34.2
664,35.35
665,30.2
666,32.9
667,32.7
668,31.1
669,28.599999999999998
670,27.55
671,25.5
672,24.5
673,21.15
674,17.1
675,16.05
676,13.25
677,16.6
678,15.35
679,13.15
680,14.6
681,13.850000000000001
682,14.85
683,16.450000000000003
684,14.35
685,15.2
686,14.35
687,13.85
688,11.05
689,13.950000000000001
690,15.950000000000001
691,14.35
692,14.35
693,15.5
694,15.549999999999999
695,15.950000000000001
696,15.9
697,17.8
698,15.4
699,14.35
700,14.35
701,11.350000000000001
702,15.8
703,14.35
704,12.85
705,14.35
706,14.0
707,12.4
708,17.450000000000003
709,15.55
710,15.65
711,18.55
712,12.25
713,14.5
714,16.950000000000003
715,16.950000000000003
716,11.75
717,14.35
718,15.05
719,16.55
720,15.05
721,14.35
722,12.85
723,15.85
724,16.15
725,16.5
726,14.6
727,14.35
728,13.55
729,15.5
730,13.85
731,16.299999999999997
732,15.45
733,15.0
734,14.35
735,14.8
736,13.65
737,15.1
738,13.35
739,14.35
740,14.35
741,14.35
742,10.95
743,13.9
744,16.35
745,15.25
746,16.0
747,12.65
748,16.700000000000003
749,12.35
750,12.7
751,15.450000000000001
752,13.85
753,14.85
754,15.05
755,14.8
756,14.35
757,14.35
758,14.35
759,13.35
760,19.3
761,11.75
762,14.55
763,11.75
764,17.05
765,14.85
766,14.35
767,16.45
768,17.450000000000003
769,13.3
770,12.85
771,14.35
772,14.2
773,14.35
774,17.15
775,14.85
776,17.9
777,15.8
778,14.85
779,15.7
780,14.4
781,16.2
782,17.95
783,14.35
784,15.05
785,18.5
786,15.75
787,14.75
788,14.35
789,14.35
790,15.4
791,12.4
792,16.45
793,16.8
794,12.25
795,14.35
796,14.35
797,16.0
798,14.1
799,14.85
800,12.35
801,14.35
802,14.05
803,14.05
804,14.75
805,14.35
806,14.35
807,15.05
808,15.9
809,13.15
810,15.15
811,14.85
812,15.15
813,15.15
814,13.45
815,14.35
816,13.35
817,14.85
818,13.1
819,16.15
820,14.55
821,13.75
822,15.05
823,14.85
824,13.65
825,12.45
826,16.85
827,16.35
828,15.1
829,15.75
830,13.75
831,14.85
832,14.35
833,17.6
834,14.05
835,14.850000000000001
836,13.85
837,17.299999999999997
838,14.85
839,16.6
840,13.65
841,16.35
842,14.35
843,14.8
844,13.75
845,14.65
846,16.05
847,16.65
848,15.55
849,14.35
850,17.5
851,13.65
852,14.35
853,14.35
854,15.850000000000001
855,12.8
856,14.85
857,14.35
858,14.7
859,11.85
860,15.35
861,16.65
862,14.85
863,12.7
864,14.8
865,14.35
866,16.15
867,14.85
868,14.35
869,15.35
870,15.1
871,16.950000000000003
872,12.4
873,14.35
874,16.35
875,12.95
876,16.0
877,15.65
878,18.8
879,17.1
880,14.35
881,13.35
882,15.85
883,13.85
884,15.15
885,16.05
886,14.85
887,15.75
888,17.55
889,17.15
890,19.45
891,15.75
892,14.0
893,14.35
894,14.35
895,14.35
896,16.6
897,16.45
898,14.65
899,16.2
900,14.35
901,14.35
902,14.6
903,15.05
904,14.35
905,14.9
906,14.35
907,17.65
908,15.85
909,13.65
910,13.75
911,14.85
912,14.35
913,14.35
914,17.6
915,14.15
916,15.1
917,17.7
918,17.6
919,14.6
920,13.35
921,12.95
922,14.85
923,14.6
924,16.65
925,15.05
926,13.65
927,12.85
928,14.35
929,14.55
930,15.7
931,14.05
932,12.4
933,16.9
934,12.4
935,14.85
936,15.35
937,15.35
938,14.15
939,13.95
940,17.5
941,17.65
942,17.15
943,14.35
944,15.2
945,20.4
946,14.35
947,14.35
948,13.35
949,15.65
950,17.4
951,15.35
952,12.25
953,13.25
954,14.35
955,15.35
956,16.15
957,15.35
958,13.35
959,14.6
960,17.8
961,13.85
962,14.35
963,15.100000000000001
964,14.35
965,14.75
966,16.3
967,16.65
968,15.1
969,13.35
970,16.85
971,15.35
972,14.35
973,12.8
974,11.9
975,13.35
976,14.15
977,12.35
978,13.1
979,14.15
980,14.75
981,14.15
982,15.35
983,13.95
984,15.7
985,12.85
986,15.100000000000001
987,14.55
988,13.299999999999999
989,13.85
990,14.2
991,14.6
992,16.299999999999997
993,14.35
994,14.75
995,14.8
996,14.35
997,13.1
998,12.5
999,10.75
1000,12.05
1001,14.35
1002,12.8
1003,14.85
1004,13.85
1005,13.05
1006,12.35
1007,14.85
1008,14.35
1009,16.45
1010,13.05
1011,15.7
1012,15.35
1013,16.0
1014,15.8
1015,14.35
1016,14.35
1017,14.55
1018,18.1
1019,14.35
1020,13.05
1021,15.35
1022,13.3
1023,14.85
1024,14.35
1025,14.35
1026,14.6
1027,16.2
1028,14.35
1029,14.35
1030,14.35
1031,13.3
1032,14.35
1033,17.05
1034,11.35
1035,14.85
1036,14.8
1037,15.35
1038,18.0
1039,16.0
1040,15.65
1041,14.05
1042,15.5
1043,15.1
1044,14.85
1045,19.75
1046,12.1
1047,15.05
1048,18.5
1049,14.3
1050,14.35
1051,15.1
1052,14.35
1053,14.4
1054,14.6
1055,14.05
1056,14.35
1057,14.8
1058,13.15
1059,13.2
1060,13.75
1061,14.8
1062,13.6
1063,14.35
1064,13.95
1065,14.35
1066,14.35
1067,15.85
1068,14.35
1069,17.65
1070,12.25
1071,16.299999999999997
1072,11.5
1073,15.05
1074,14.6
1075,15.65
1076,15.55
1077,16.3
1078,14.4
1079,14.1
1080,17.25
1081,12.0
1082,13.65
1083,13.95
1084,12.6
1085,15.55
1086,18.75
1087,15.6
1088,16.15
1089,10.65
1090,15.65
1091,14.15
1092,12.85
1093,16.1
1094,14.35
1095,15.05
1096,12.85
1097,15.65
1098,14.65
1099,14.9
1100,11.75
1101,15.600000000000001
1102,15.0
1103,15.85
1104,13.35
1105,14.35
1106,14.35
1107,13.65
1108,15.0
1109,15.25
1110,19.45
1111,14.65
1112,16.3
1113,15.75
1114,16.3
1115,14.35
1116,17.95
1117,16.6
1118,15.15
1119,13.75
1120,13.2
1121,17.200000000000003
1122,14.1
1123,15.15
1124,15.7
1125,14.6
1126,15.95
1127,14.950000000000001
1128,18.549999999999997
1129,14.35
1130,17.15
1131,15.05
1132,14.35
1133,14.35
1134,14.6
1135,16.35
1136,15.350000000000001
1137,13.75
1138,15.950000000000001
1139,15.950000000000001
1140,13.25
1141,16.4
1142,15.35
1143,14.85
1144,12.45
1145,13.35
1146,17.35
1147,17.05
1148,14.8
1149,13.45
1150,15.25
1151,14.35
1152,14.35
1153,12.35
1154,17.6
1155,16.2
1156,15.950000000000001
1157,13.8
1158,14.35
1159,15.1
1160,15.65
1161,14.35
1162,15.1
1163,16.65
1164,13.95
1165,14.15
1166,16.75
1167,14.8
1168,12.85
1169,14.85
1170,18.0
1171,17.950000000000003
1172,14.35
1173,15.1
1174,16.45
1175,14.85
1176,14.75
1177,14.35
1178,16.6
1179,14.35
1180,14.35
1181,16.3
1182,20.95
1183,14.4
1184,14.35
1185,14.6
1186,13.75
1187,16.35
1188,15.35
1189,19.25
1190,13.75
1191,15.3
1192,15.15
1193,15.8
1194,15.7
1195,14.35
1196,13.95
1197,14.85
1198,15.3
1199,11.85
1200,13.95
1201,15.25
1202,14.85
1203,14.35
1204,17.45
1205,14.35
1206,15.7
1207,16.25
1208,14.8
1209,15.0
1210,15.4
1211,15.15
1212,10.5
1213,17.15
1214,14.35
1215,14.35
1216,15.0
1217,15.35
1218,16.35
1219,13.35
1220,15.5
1221,15.75
1222,11.75
1223,14.8
1224,13.85
1225,14.35
1226,13.3
1227,16.9
1228,16.65
1229,16.0
1230,12.9
1231,15.15
1232,15.85
1233,16.1
1234,14.200000000000001
1235,13.8
1236,12.95
1237,13.75
1238,17.35
1239,15.049999999999999
1240,17.7
1241,15.65
1242,16.15
1243,14.35
1244,14.35
1245,13.65
1246,15.7
1247,15.0
1248,17.8
1249,17.0
1250,19.8
1251,13.7
1252,12.75
1253,14.35
1254,14.35
1255,11.75
1256,16.7
1257,15.0
1258,14.35
1259,13.7
1260,14.7
1261,15.3
1262,16.15
1263,14.65
1264,15.1
1265,16.6
1266,12.85
1267,13.85
1268,15.65
1269,13.45
1270,12.4
1271,14.35
1272,16.95
1273,13.85
1274,12.95
1275,14.4
1276,14.35
1277,12.85
1278,15.15
1279,14.15
1280,15.85
1281,19.5
1282,14.35
1283,13.75
1284,16.3
1285,15.2
1286,15.799999999999999
1287,14.35
1288,15.0
1289,14.35
1290,15.25
1291,12.55
1292,18.65
1293,12.45
1294,13.75
1295,17.35
1296,15.35
1297,15.0
1298,13.55
1299,12.6
1300,14.05
1301,14.35
1302,15.35
1303,14.35
1304,17.05
1305,16.45
1306,14.55
1307,14.6
1308,14.0
1309,14.6
1310,16.6
1311,14.3
1312,14.35
1313,16.3
1314,16.05
1315,11.85
1316,13.85
1317,10.5
1318,14.35
1319,14.35
1320,16.1
1321,12.35
1322,15.05
1323,14.8
1324,15.1
1325,14.65
1326,14.35
1327,16.05
1328,16.3
1329,15.8
1330,14.8
1331,12.5
1332,14.6
1333,14.85
1334,15.35
1335,12.9
1336,14.35
1337,14.85
1338,11.75
1339,14.15
1340,14.45
1341,14.35
1342,16.55
1343,17.35
1344,13.55
1345,14.6
1346,15.1
1347,16.950000000000003
1348,14.35
1349,13.65
1350,11.4
1351,15.65
1352,13.9
1353,13.65
1354,14.5
1355,13.75
1356,16.15
1357,14.35
1358,13.35
1359,15.25
1360,13.55
1361,14.6
1362,13.95
1363,16.3
1364,15.1
1365,16.4
1366,15.950000000000001
1367,14.35
1368,15.85
1369,15.35
1370,13.7
1371,15.8
1372,13.15
1373,13.95
1374,12.4
1375,14.35
1376,14.35
1377,13.6
1378,15.05
1379,12.65
1380,15.05
1381,14.7
1382,15.8
1383,14.85
1384,13.95
1385,16.8
1386,15.0
1387,17.85
1388,13.75
1389,16.85
1390,18.6
1391,14.100000000000001
1392,13.100000000000001
1393,15.5
1394,13.05
1395,16.8
1396,14.35
1397,11.65
1398,15.1
1399,14.05
1400,15.2
1401,15.3
1402,15.3
1403,16.75
1404,14.05
1405,11.35
1406,14.45
1407,20.35
1408,14.35
1409,14.15
1410,17.85
1411,14.35
1412,15.5
1413,14.15
1414,14.75
1415,15.15
1416,14.1
1417,14.35
1418,13.95
1419,12.8
1420,13.35
1421,15.25
1422,19.450000000000003
1423,11.55
1424,16.75
1425,15.5
1426,11.05
1427,14.5
1428,14.75
1429,15.3
1430,14.65
1431,13.0
1432,15.950000000000001
1433,14.45
1434,15.1
1435,13.85
1436,11.75
1437,13.3
1438,13.95
1439,14.35
1440,14.4
1441,12.85
1442,13.35
1443,16.65
1444,14.35
1445,12.25
1446,15.15
1447,14.0
1448,15.7
1449,13.2
1450,12.35
1451,14.35
1452,14.9
1453,15.4
1454,15.1
1455,15.35
1456,14.05
1457,15.75
1458,14.1
1459,15.1
1460,15.35
1461,13.45
1462,12.85
1463,17.6
1464,15.0
1465,16.85
1466,18.0
1467,14.35
1468,14.85
1469,15.15
1470,14.35
1471,16.35
1472,12.25
1473,13.85
1474,16.3
1475,16.65
1476,14.35
1477,13.65
1478,13.35
1479,13.55
1480,14.35
