x,acc_throughput
0,146.66666666666666
1,146.66666666666666
2,133.33333333333334
3,133.33333333333334
4,146.66666666666666
5,146.66666666666666
6,146.66666666666666
7,120.0
8,146.66666666666666
9,136.66666666666666
10,133.33333333333334
11,146.66666666666666
12,133.33333333333334
13,143.33333333333334
14,140.0
15,136.66666666666666
16,136.66666666666666
17,136.66666666666666
18,133.33333333333334
19,140.0
20,146.66666666666666
21,126.66666666666667
22,140.0
23,146.66666666666666
24,146.66666666666666
25,133.33333333333334
26,136.66666666666666
27,160.0
28,146.66666666666666
29,133.33333333333334
30,146.66666666666666
31,146.66666666666666
32,146.66666666666666
33,146.66666666666666
34,146.66666666666666
35,133.33333333333334
36,146.66666666666666
37,133.33333333333334
38,130.0
39,146.66666666666666
40,120.0
41,146.66666666666666
42,133.33333333333334
43,123.33333333333333
44,140.0
45,133.33333333333334
46,136.66666666666666
47,136.66666666666666
48,133.33333333333334
49,136.66666666666666
50,146.66666666666666
51,146.66666666666666
52,143.33333333333334
53,146.66666666666666
54,140.0
55,140.0
56,136.66666666666666
57,146.66666666666666
58,156.66666666666666
59,146.66666666666666
60,116.66666666666667
61,146.66666666666666
62,143.33333333333334
63,146.66666666666666
64,146.66666666666666
65,130.0
66,130.0
67,126.66666666666667
68,143.33333333333334
69,133.33333333333334
70,146.66666666666666
71,136.66666666666666
72,136.66666666666666
73,143.33333333333334
74,146.66666666666666
75,136.66666666666666
76,143.33333333333334
77,140.0
78,146.66666666666666
79,146.66666666666666
80,146.66666666666666
81,146.66666666666666
82,133.33333333333334
83,133.33333333333334
84,146.66666666666666
85,143.33333333333334
86,146.66666666666666
87,140.0
88,136.66666666666666
89,173.33333333333334
90,146.66666666666666
91,136.66666666666666
92,146.66666666666666
93,146.66666666666666
94,143.33333333333334
95,140.0
96,146.66666666666666
97,143.33333333333334
98,146.66666666666666
99,143.33333333333334
100,146.66666666666666
101,146.66666666666666
102,146.66666666666666
103,146.66666666666666
104,146.66666666666666
105,146.66666666666666
106,146.66666666666666
107,146.66666666666666
108,140.0
109,146.66666666666666
110,146.66666666666666
111,143.33333333333334
112,146.66666666666666
113,126.66666666666667
114,143.33333333333334
115,146.66666666666666
116,143.33333333333334
117,133.33333333333334
118,160.0
119,133.33333333333334
120,133.33333333333334
121,126.66666666666667
122,156.66666666666666
123,123.33333333333333
124,136.66666666666666
125,140.0
126,146.66666666666666
127,140.0
128,146.66666666666666
129,133.33333333333334
130,146.66666666666666
131,146.66666666666666
132,146.66666666666666
133,146.66666666666666
134,126.66666666666667
135,126.66666666666667
136,173.33333333333334
137,120.0
138,146.66666666666666
139,146.66666666666666
140,126.66666666666667
141,146.66666666666666
142,133.33333333333334
143,143.33333333333334
