x,acc_delay
0,420.83333333333337
1,455.83333333333337
2,449.20634920634916
3,488.8888888888889
4,479.16666666666663
5,431.7460317460318
6,450.26455026455034
7,474.6693121693121
8,427.3148148148148
9,431.66666666666663
10,493.2142857142858
11,420.83333333333337
12,497.22222222222223
13,423.80952380952385
14,453.6111111111111
15,433.33333333333326
16,473.7962962962963
17,455.2777777777778
18,448.05555555555554
19,426.85185185185185
20,424.4047619047619
21,480.8333333333333
22,433.7962962962963
23,420.83333333333337
24,429.16666666666663
25,440.2777777777778
26,492.98941798941803
27,439.3518518518519
28,420.83333333333337
29,447.6190476190476
30,476.3888888888889
31,420.83333333333337
32,420.83333333333337
33,420.83333333333337
34,429.96031746031747
35,498.6111111111111
36,420.83333333333337
37,438.8888888888889
38,461.1111111111111
39,420.83333333333337
40,526.3888888888889
41,451.94444444444446
42,506.1111111111111
43,498.1481481481482
44,435.58201058201064
45,454.62962962962956
46,444.16666666666663
47,616.4153439153439
48,440.2777777777778
49,468.76984126984127
50,468.05555555555554
51,432.5
52,431.3492063492063
53,420.83333333333337
54,492.5925925925926
55,445.8597883597884
56,505.2777777777778
57,475.0
58,484.2592592592593
59,420.83333333333337
60,549.2724867724868
61,455.83333333333337
62,484.72222222222223
63,420.83333333333337
64,420.83333333333337
65,497.8703703703703
66,485.2777777777778
67,470.0925925925927
68,475.5952380952381
69,448.6111111111111
70,466.66666666666674
71,451.25661375661383
72,432.5
73,451.7460317460317
74,420.83333333333337
75,431.66666666666663
76,428.3730158730159
77,480.0925925925926
78,457.3412698412699
79,420.83333333333337
80,538.452380952381
81,427.57936507936506
82,467.2222222222222
83,470.92592592592587
84,420.83333333333337
85,544.047619047619
86,420.83333333333337
87,458.7962962962963
88,549.4444444444445
89,420.83333333333337
90,420.83333333333337
91,444.16666666666663
92,420.83333333333337
93,420.83333333333337
94,430.7539682539683
95,433.7962962962963
96,448.015873015873
97,427.7777777777778
98,420.83333333333337
99,428.3730158730159
100,440.2777777777778
101,420.83333333333337
102,420.83333333333337
103,466.66666666666674
104,446.2962962962963
105,420.83333333333337
106,468.33333333333337
107,449.16666666666663
108,433.7962962962963
109,420.83333333333337
110,435.83333333333337
111,423.80952380952385
112,427.3148148148148
113,450.925925925926
114,424.0079365079365
115,420.83333333333337
116,488.45238095238096
117,472.6190476190476
118,467.5
119,459.72222222222223
120,459.7222222222223
121,503.7037037037037
122,427.57936507936506
123,481.61375661375666
124,450.1984126984127
125,433.7962962962963
126,436.9047619047619
127,486.1111111111111
128,420.83333333333337
129,438.4920634920635
130,429.96031746031747
131,483.7301587301588
132,499.0079365079365
133,420.83333333333337
134,477.03703703703707
135,509.25925925925924
136,459.1666666666667
137,480.8730158730159
138,420.83333333333337
139,459.0079365079365
140,519.3518518518518
141,472.77777777777777
142,487.962962962963
143,430.55555555555554
144,438.2936507936508
145,461.57407407407413
146,493.05555555555554
147,501.94444444444446
148,420.83333333333337
149,438.4259259259259
150,526.3888888888889
151,455.83333333333337
152,446.031746031746
153,427.57936507936506
154,530.0
155,420.83333333333337
156,461.9708994708995
157,557.7777777777777
158,420.83333333333337
159,429.6296296296297
160,498.61111111111114
161,513.3597883597884
162,420.83333333333337
163,445.83333333333337
164,702.6984126984128
165,420.83333333333337
166,420.83333333333337
167,440.0
168,449.6693121693122
169,432.5
170,448.14814814814815
171,648.1878306878307
172,441.20370370370375
173,440.07936507936506
174,453.7962962962963
175,443.57142857142856
176,438.69047619047615
177,451.3888888888888
178,435.7142857142857
179,467.3148148148148
180,420.83333333333337
181,450.39682539682536
182,429.16666666666663
183,420.83333333333337
184,420.83333333333337
185,458.3333333333333
186,432.5
187,461.574074074074
188,424.4047619047619
189,500.5555555555556
190,420.83333333333337
191,456.031746031746
192,814.0079365079365
193,446.2962962962963
194,439.68253968253975
195,465.46296296296293
196,526.8518518518518
197,482.5
198,420.83333333333337
199,442.1296296296296
200,440.2777777777778
201,444.16666666666663
202,420.83333333333337
203,490.67460317460313
204,442.1296296296296
205,479.16666666666663
206,463.6111111111111
207,471.94444444444446
208,420.83333333333337
209,432.69841269841265
210,420.83333333333337
211,464.32539682539687
212,463.6111111111111
213,429.16666666666663
214,456.94444444444446
215,427.7777777777778
216,471.8518518518519
217,428.76984126984127
218,429.16666666666663
219,452.5
220,463.14814814814815
221,497.2222222222222
222,484.537037037037
223,435.7804232804233
224,484.32539682539687
225,494.07407407407413
226,568.8888888888889
227,445.6349206349206
228,471.62698412698415
229,474.0079365079365
230,420.83333333333337
231,420.83333333333337
232,465.4497354497355
233,438.425925925926
234,426.3888888888889
235,432.5
236,420.83333333333337
237,438.425925925926
238,483.26719576719574
239,616.6666666666666
240,435.7804232804233
241,420.83333333333337
242,500.46296296296293
243,442.5925925925926
244,462.96296296296305
245,556.058201058201
246,484.7222222222223
247,453.33333333333337
248,420.83333333333337
249,520.5555555555555
250,535.1851851851852
251,460.515873015873
252,420.83333333333337
253,460.0
254,437.03703703703707
255,475.0
256,499.537037037037
257,424.0079365079365
258,480.0
259,507.18253968253964
260,441.66666666666663
261,475.0
262,420.83333333333337
263,541.4814814814815
264,420.83333333333337
265,420.83333333333337
266,420.83333333333337
267,423.41269841269843
268,439.35185185185185
269,470.0
270,662.1825396825396
271,444.16666666666663
272,435.83333333333337
273,420.83333333333337
274,518.0555555555557
275,479.16666666666663
276,443.9153439153439
277,450.75396825396825
278,427.3148148148148
279,444.44444444444446
280,443.05555555555554
281,475.3968253968254
282,420.83333333333337
283,449.6693121693122
284,427.3148148148148
285,438.4259259259259
286,454.1666666666667
287,507.34126984126976
288,423.80952380952385
289,459.1666666666667
290,548.8888888888889
291,466.66666666666663
292,420.83333333333337
293,436.57407407407413
294,433.33333333333337
295,428.3730158730159
296,429.16666666666663
297,428.24074074074076
298,460.2777777777777
299,510.55555555555554
300,433.7962962962963
301,446.29629629629636
302,443.14814814814815
303,420.83333333333337
304,438.4259259259259
305,440.41005291005297
306,452.2222222222222
307,420.83333333333337
308,455.46296296296293
309,461.75925925925924
310,439.3518518518519
311,420.83333333333337
312,487.7380952380953
313,420.83333333333337
314,485.19841269841265
315,444.16666666666663
316,450.0
317,474.07407407407413
318,491.78571428571433
319,445.83333333333337
320,455.83333333333337
321,452.5
322,420.83333333333337
323,436.574074074074
324,455.83333333333337
325,432.5
326,519.5370370370371
327,427.57936507936506
328,477.22222222222223
329,459.7222222222223
330,449.07407407407413
331,420.83333333333337
332,501.85185185185185
333,449.20634920634916
334,479.16666666666663
335,420.83333333333337
336,428.76984126984127
337,486.1111111111111
338,434.8544973544973
339,459.2592592592593
340,429.16666666666663
341,545.6481481481482
342,440.2777777777778
343,469.1666666666667
344,433.33333333333326
345,490.2777777777778
346,518.7830687830688
347,479.16666666666663
348,524.1666666666666
349,515.5555555555555
350,520.8333333333334
351,420.83333333333337
352,597.8835978835979
353,490.0
354,449.16666666666663
355,420.83333333333337
356,427.7777777777778
357,419.6428571428571
358,420.83333333333337
359,443.05555555555554
360,420.83333333333337
361,499.4047619047619
362,428.3730158730159
363,479.16666666666663
364,508.6111111111111
365,427.3148148148148
366,420.83333333333337
367,473.6111111111111
368,493.98148148148147
369,435.1851851851852
370,420.83333333333337
371,442.5
372,447.6851851851852
373,420.83333333333337
374,442.1296296296296
375,431.66666666666663
376,420.83333333333337
377,479.7222222222223
378,427.7777777777778
379,420.83333333333337
380,442.1296296296296
381,440.2777777777778
382,498.61111111111114
383,424.4047619047619
384,500.0
385,497.7777777777778
386,505.2777777777778
387,511.0449735449736
388,479.7222222222222
389,420.83333333333337
390,466.66666666666674
391,615.7407407407408
392,463.41269841269843
393,426.3888888888889
394,420.83333333333337
395,444.16666666666663
396,469.44444444444446
397,420.83333333333337
398,480.51587301587307
399,429.16666666666663
400,481.94444444444446
401,424.0079365079365
402,430.95238095238096
403,440.54232804232805
404,442.63227513227514
405,431.7460317460318
406,444.16666666666663
407,420.83333333333337
408,434.98677248677257
409,526.3888888888889
410,503.57142857142856
411,462.73809523809524
412,461.2698412698413
413,450.0
414,420.83333333333337
415,486.57407407407413
416,468.35978835978835
417,470.17195767195767
418,420.83333333333337
419,483.45238095238096
420,420.83333333333337
421,431.66666666666663
422,429.96031746031747
423,438.425925925926
424,435.83333333333337
425,429.16666666666663
426,460.74074074074076
427,442.1296296296296
428,420.83333333333337
429,450.0
430,606.3492063492063
431,420.83333333333337
432,424.0079365079365
433,420.83333333333337
434,438.69047619047615
435,479.1666666666667
436,420.83333333333337
437,437.03703703703707
438,431.66666666666663
439,436.574074074074
440,420.83333333333337
441,459.16666666666663
442,496.29629629629625
443,428.33333333333337
444,446.2962962962963
445,481.9444444444445
446,470.9656084656085
447,466.66666666666674
448,420.83333333333337
449,454.1666666666667
450,427.57936507936506
451,596.8253968253969
452,432.5
453,420.83333333333337
454,588.8888888888889
455,479.53703703703707
456,465.46296296296305
457,420.83333333333337
458,545.4629629629629
459,477.3015873015873
460,420.83333333333337
461,472.2222222222222
462,447.57936507936506
463,433.33333333333337
464,431.3492063492064
465,425.3968253968254
466,420.83333333333337
467,420.83333333333337
468,420.83333333333337
469,443.45238095238096
470,420.83333333333337
471,435.83333333333337
472,509.16666666666663
473,433.33333333333326
474,420.83333333333337
475,427.7777777777778
476,445.83333333333337
477,435.51587301587307
478,420.83333333333337
479,484.72222222222223
480,461.58730158730157
481,420.83333333333337
482,490.2777777777778
483,433.33333333333337
484,424.0079365079365
485,420.83333333333337
486,423.6111111111111
487,459.1666666666667
488,462.5
489,431.66666666666663
490,428.3730158730159
491,436.574074074074
492,425.0
493,461.44179894179894
494,420.83333333333337
495,513.3333333333334
496,481.01851851851853
497,466.2037037037037
498,431.7460317460318
499,428.57142857142856
500,474.2063492063492
501,477.22222222222223
502,420.83333333333337
503,520.2380952380953
504,461.5740740740741
505,426.7857142857142
506,428.3730158730159
507,454.1666666666667
508,453.33333333333337
509,445.43650793650795
510,440.2777777777778
511,450.0
512,481.1111111111111
513,432.5
514,420.83333333333337
515,480.29100529100526
516,441.66666666666663
517,499.53703703703707
518,481.8518518518519
519,438.41269841269843
520,437.5
521,492.7777777777777
522,508.6111111111111
523,420.83333333333337
524,524.4708994708994
525,420.83333333333337
526,448.33333333333337
527,846.7857142857142
528,431.66666666666663
529,583.1746031746032
530,469.44444444444446
531,439.2195767195767
532,465.74074074074076
533,420.83333333333337
534,420.83333333333337
535,501.85185185185185
536,423.6111111111111
537,420.83333333333337
538,420.83333333333337
539,443.968253968254
540,548.8888888888889
541,493.8095238095238
542,499.4047619047619
543,448.6111111111111
544,423.6111111111111
545,434.16666666666663
546,458.1349206349207
547,472.4867724867725
548,479.23280423280426
549,445.8333333333333
550,454.49735449735454
551,469.44444444444446
552,427.7777777777778
553,420.83333333333337
554,479.16666666666674
555,489.07407407407413
556,435.74074074074076
557,420.83333333333337
558,479.16666666666674
559,468.05555555555554
560,570.1719576719577
561,483.8888888888889
562,439.3518518518519
563,427.7777777777778
564,428.57142857142856
565,428.57142857142856
566,491.20370370370375
567,567.8571428571429
568,434.28571428571433
569,452.7777777777778
570,514.8148148148149
571,420.83333333333337
572,516.6005291005291
573,491.9444444444445
574,420.83333333333337
575,420.83333333333337
576,428.33333333333337
577,420.83333333333337
578,468.7830687830688
579,452.5
580,450.0
581,426.3888888888889
582,441.66666666666663
583,487.5925925925926
584,479.16666666666663
585,462.0238095238095
586,458.33333333333326
587,420.83333333333337
588,483.2804232804233
589,440.2777777777777
590,432.5
591,497.2222222222223
592,441.66666666666663
593,420.83333333333337
594,420.83333333333337
595,447.42063492063494
596,461.1111111111111
597,420.83333333333337
598,428.76984126984127
599,420.83333333333337
600,458.79629629629636
601,450.0
602,462.2222222222222
603,500.13227513227514
604,420.83333333333337
605,444.16666666666663
606,481.94444444444446
607,472.6851851851852
608,438.8888888888889
609,445.83333333333337
610,461.1111111111111
611,499.72222222222223
612,445.83333333333337
613,453.33333333333337
614,491.00529100529104
615,462.5
616,459.1666666666667
617,479.16666666666663
618,488.425925925926
619,449.16666666666663
620,440.2777777777778
621,439.3518518518519
622,472.0767195767196
623,453.24074074074076
