x,acc_reward
0,0.241
1,0.241
2,0.241
3,0.241
4,0.2065
5,0.1985
6,0.23349999999999996
7,0.241
8,0.1865
9,0.22749999999999995
10,0.241
11,0.241
12,0.241
13,0.241
14,0.1885
15,0.241
16,0.241
17,0.241
18,0.241
19,0.241
20,0.241
21,0.23349999999999996
22,0.23349999999999996
23,0.241
24,0.20899999999999996
25,0.22099999999999997
26,0.241
27,0.241
28,0.22099999999999997
29,0.235
30,0.241
31,0.241
32,0.241
33,0.241
34,0.235
35,0.241
36,0.2185
37,0.18649999999999997
38,0.241
39,0.241
40,0.241
41,0.1885
42,0.2125
43,0.20899999999999996
44,0.22749999999999995
45,0.241
46,0.241
47,0.2185
48,0.211
49,0.241
50,0.23349999999999996
51,0.241
52,0.241
53,0.241
54,0.241
55,0.2185
56,0.241
57,0.23349999999999996
58,0.241
59,0.241
60,0.22099999999999997
61,0.205
62,0.241
63,0.241
64,0.211
65,0.2035
66,0.21399999999999997
67,0.241
68,0.241
69,0.241
70,0.22599999999999998
71,0.1885
72,0.211
73,0.241
74,0.235
75,0.2185
76,0.235
77,0.241
78,0.241
79,0.21399999999999997
80,0.241
81,0.241
82,0.17149999999999999
83,0.241
84,0.241
85,0.241
86,0.241
87,0.211
88,0.22749999999999995
89,0.241
90,0.211
91,0.241
92,0.241
93,0.241
94,0.2035
95,0.23349999999999996
96,0.241
97,0.241
98,0.21399999999999997
99,0.241
100,0.241
101,0.241
102,0.241
103,0.241
104,0.1865
105,0.22099999999999997
106,0.22749999999999995
107,0.241
108,0.21099999999999997
109,0.241
110,0.211
111,0.1885
112,0.2185
113,0.22599999999999998
114,0.20899999999999996
115,0.241
116,0.1885
117,0.241
118,0.20899999999999996
119,0.2065
120,0.241
121,0.241
122,0.241
123,0.241
124,0.241
125,0.20149999999999993
126,0.241
127,0.241
128,0.22099999999999997
129,0.241
130,0.241
131,0.211
132,0.21399999999999997
133,0.16849999999999998
134,0.241
135,0.22599999999999998
136,0.241
137,0.241
138,0.23349999999999996
139,0.22599999999999998
140,0.241
141,0.241
142,0.241
143,0.23349999999999996
144,0.241
145,0.22099999999999997
146,0.241
147,0.241
148,0.241
149,0.241
150,0.21399999999999997
151,0.241
152,0.20899999999999996
153,0.21399999999999997
154,0.241
155,0.22749999999999995
156,0.241
157,0.22099999999999997
158,0.241
159,0.22599999999999998
160,0.241
161,0.241
162,0.1885
163,0.241
164,0.241
165,0.19399999999999998
166,0.1885
167,0.241
168,0.241
169,0.241
170,0.241
171,0.23349999999999996
172,0.23349999999999996
173,0.22599999999999998
174,0.241
175,0.241
176,0.22099999999999997
177,0.22599999999999998
178,0.241
179,0.241
180,0.241
181,0.22749999999999995
182,0.2185
183,0.241
184,0.241
185,0.2185
186,0.241
187,0.21399999999999997
188,0.241
189,0.23349999999999996
190,0.18099999999999997
191,0.211
192,0.20049999999999998
193,0.22749999999999995
194,0.241
195,0.241
196,0.22599999999999998
197,0.23349999999999996
198,0.241
199,0.1885
200,0.241
201,0.241
202,0.241
203,0.23349999999999996
204,0.241
205,0.241
206,0.241
207,0.2185
208,0.21399999999999997
209,0.241
210,0.241
211,0.22099999999999997
212,0.241
213,0.241
214,0.241
215,0.241
216,0.241
217,0.241
218,0.23349999999999996
219,0.23349999999999996
220,0.17499999999999996
221,0.241
222,0.241
223,0.23349999999999996
224,0.241
225,0.211
226,0.20899999999999996
227,0.241
228,0.23349999999999996
229,0.241
230,0.22749999999999995
231,0.241
232,0.22599999999999998
233,0.22749999999999995
234,0.22099999999999997
235,0.241
236,0.241
237,0.241
238,0.22599999999999998
239,0.211
240,0.241
241,0.241
242,0.22099999999999997
243,0.2185
244,0.21499999999999997
245,0.241
246,0.23349999999999996
247,0.241
248,0.2185
249,0.241
250,0.241
251,0.22599999999999998
252,0.241
253,0.23349999999999996
254,0.241
255,0.241
256,0.22749999999999995
257,0.23349999999999996
258,0.22749999999999995
259,0.22599999999999998
260,0.22599999999999998
261,0.241
262,0.22749999999999995
263,0.241
264,0.241
265,0.241
266,0.241
267,0.241
268,0.23349999999999996
269,0.17149999999999999
270,0.1885
271,0.22099999999999997
272,0.235
273,0.241
274,0.241
275,0.211
276,0.241
277,0.241
278,0.241
279,0.23349999999999996
280,0.23349999999999996
281,0.23349999999999996
282,0.241
283,0.241
284,0.241
285,0.20899999999999996
286,0.241
287,0.211
288,0.22749999999999995
289,0.241
290,0.241
291,0.241
292,0.241
293,0.241
294,0.241
295,0.21399999999999997
296,0.22099999999999997
297,0.22749999999999995
298,0.241
299,0.22099999999999997
300,0.20049999999999998
301,0.241
302,0.241
303,0.241
304,0.241
305,0.23349999999999996
306,0.241
307,0.241
308,0.241
309,0.241
310,0.241
311,0.241
312,0.241
313,0.241
314,0.21399999999999997
315,0.21399999999999997
316,0.241
317,0.241
318,0.22749999999999995
319,0.241
320,0.241
321,0.241
322,0.21349999999999994
323,0.241
324,0.1985
325,0.23349999999999996
326,0.2185
327,0.211
328,0.241
329,0.241
330,0.2185
331,0.20899999999999996
332,0.23349999999999996
333,0.1885
334,0.1885
335,0.241
336,0.1885
337,0.18099999999999997
338,0.21399999999999997
339,0.20899999999999996
340,0.241
341,0.1885
342,0.15649999999999997
343,0.22749999999999995
344,0.241
345,0.241
346,0.241
347,0.241
348,0.1825
349,0.16849999999999998
350,0.241
351,0.241
352,0.235
353,0.241
354,0.20049999999999998
355,0.23349999999999996
356,0.241
357,0.241
358,0.241
359,0.241
360,0.22599999999999998
361,0.241
362,0.241
363,0.22749999999999995
364,0.241
365,0.1885
366,0.241
367,0.23349999999999996
368,0.241
369,0.241
370,0.211
371,0.22749999999999995
372,0.241
373,0.241
374,0.241
375,0.241
376,0.241
377,0.241
378,0.2185
379,0.241
380,0.23349999999999996
381,0.241
382,0.241
383,0.241
384,0.241
385,0.241
386,0.22749999999999995
387,0.241
388,0.15399999999999997
389,0.241
390,0.241
391,0.241
392,0.241
393,0.20899999999999996
394,0.241
395,0.241
396,0.241
397,0.241
398,0.22099999999999997
399,0.241
400,0.2185
401,0.241
402,0.23349999999999996
403,0.22749999999999995
404,0.241
405,0.22749999999999995
406,0.22749999999999995
407,0.241
408,0.1885
409,0.241
410,0.2035
411,0.22599999999999998
412,0.20899999999999996
413,0.241
414,0.21399999999999997
415,0.167
416,0.20899999999999996
417,0.241
418,0.241
419,0.22099999999999997
420,0.241
421,0.241
