x,acc_delay
0,1530.0
1,1560.0
2,1490.0
3,1340.0
4,1560.0
5,1550.0
6,1510.0
7,1480.0
8,1520.0
9,1560.0
10,1500.0
11,1340.0
12,1480.0
13,1560.0
14,1510.0
15,1560.0
16,1560.0
17,1530.0
18,1510.0
19,1500.0
20,1530.0
21,1320.0
22,1540.0
23,1530.0
24,1560.0
25,1400.0
26,1440.0
27,1520.0
28,1560.0
29,1440.0
30,1430.0
31,1520.0
32,1560.0
33,1560.0
34,1560.0
35,1560.0
36,1560.0
37,1560.0
38,1480.0
39,1560.0
40,1520.0
41,1500.0
42,1400.0
43,1410.0
44,1540.0
45,1520.0
46,1530.0
47,1490.0
48,1560.0
49,1480.0
50,1480.0
51,1560.0
52,1540.0
53,1560.0
54,1380.0
55,1500.0
56,1480.0
57,1480.0
58,1510.0
59,1520.0
60,1390.0
61,1560.0
62,1390.0
63,1560.0
64,1560.0
65,1420.0
66,1360.0
67,1490.0
68,1460.0
69,1250.0
70,1530.0
71,1530.0
72,1560.0
73,1500.0
74,1560.0
75,1560.0
76,1520.0
77,1460.0
78,1490.0
79,1350.0
80,1470.0
81,1540.0
82,1420.0
83,1450.0
84,1560.0
85,1470.0
86,1410.0
87,1400.0
88,1480.0
89,1500.0
90,1500.0
91,1410.0
92,1500.0
93,1560.0
94,1520.0
95,1540.0
96,1530.0
97,1510.0
98,1330.0
99,1450.0
100,1560.0
101,1560.0
102,1470.0
103,1530.0
104,1540.0
105,1560.0
106,1560.0
107,1420.0
108,1540.0
109,1530.0
110,1410.0
111,1540.0
112,1560.0
113,1540.0
114,1530.0
115,1540.0
116,1440.0
117,1430.0
118,1430.0
119,1380.0
120,1520.0
121,1520.0
122,1470.0
123,1490.0
124,1470.0
125,1540.0
126,1450.0
127,1500.0
128,1440.0
129,1550.0
130,1480.0
131,1470.0
132,1520.0
133,1460.0
134,1360.0
135,1340.0
136,1480.0
137,1470.0
138,1540.0
139,1430.0
140,1320.0
141,1360.0
142,1490.0
143,1540.0
144,1500.0
145,1520.0
146,1520.0
147,1380.0
148,1560.0
149,1460.0
150,1480.0
151,1400.0
152,1520.0
153,1540.0
154,1270.0
155,1560.0
156,1500.0
157,1470.0
158,1550.0
159,1560.0
160,1520.0
161,1360.0
162,1560.0
163,1440.0
164,1310.0
165,1520.0
166,1560.0
167,1520.0
168,1470.0
169,1380.0
170,1500.0
171,1440.0
172,1450.0
173,1550.0
174,1530.0
175,1330.0
176,1400.0
177,1490.0
178,1490.0
179,1500.0
180,1560.0
181,1450.0
182,1560.0
183,1560.0
184,1560.0
185,1480.0
186,1560.0
187,1400.0
188,1530.0
189,1480.0
190,1470.0
191,1490.0
192,1480.0
193,1540.0
194,1530.0
195,1480.0
196,1400.0
197,1360.0
198,1480.0
199,1470.0
200,1540.0
201,1460.0
202,1560.0
203,1430.0
204,1560.0
205,1560.0
206,1530.0
207,1530.0
208,1560.0
209,1530.0
210,1500.0
211,1550.0
212,1530.0
213,1380.0
214,1500.0
215,1500.0
216,1420.0
217,1540.0
218,1440.0
219,1470.0
220,1530.0
221,1480.0
222,1410.0
223,1470.0
224,1550.0
225,1460.0
226,1460.0
227,1540.0
228,1420.0
229,1470.0
230,1560.0
231,1560.0
232,1330.0
233,1520.0
234,1470.0
235,1520.0
236,1540.0
237,1560.0
238,1490.0
239,1450.0
240,1520.0
241,1560.0
242,1500.0
243,1500.0
244,1520.0
245,1320.0
246,1530.0
247,1460.0
248,1530.0
249,1400.0
250,1460.0
251,1470.0
252,1380.0
253,1340.0
254,1340.0
255,1480.0
256,1500.0
257,1490.0
258,1560.0
259,1180.0
260,1560.0
261,1480.0
262,1560.0
263,1370.0
264,1460.0
265,1560.0
266,1520.0
267,1560.0
268,1520.0
269,1500.0
270,1460.0
271,1500.0
272,1470.0
273,1390.0
274,1520.0
275,1500.0
276,1560.0
277,1520.0
278,1530.0
279,1440.0
280,1400.0
281,1560.0
282,1560.0
283,1460.0
284,1540.0
285,1540.0
286,1500.0
287,1440.0
288,1560.0
289,1560.0
290,1310.0
291,1440.0
292,1440.0
293,1530.0
294,1500.0
295,1440.0
296,1390.0
297,1500.0
298,1440.0
299,1300.0
300,1520.0
301,1500.0
302,1330.0
303,1520.0
304,1420.0
305,1490.0
306,1530.0
307,1560.0
308,1210.0
309,1500.0
310,1520.0
311,1500.0
312,1300.0
313,1560.0
314,1520.0
315,1490.0
316,1470.0
317,1270.0
318,1430.0
319,1440.0
320,1560.0
321,1500.0
322,1560.0
323,1390.0
324,1560.0
325,1560.0
326,1430.0
327,1540.0
328,1370.0
329,1520.0
330,1500.0
331,1390.0
332,1260.0
333,1480.0
334,1560.0
335,1560.0
336,1540.0
337,1520.0
338,1490.0
339,1540.0
340,1560.0
341,1460.0
342,1380.0
343,1440.0
344,1560.0
345,1460.0
346,1420.0
347,1560.0
348,1500.0
349,1450.0
350,1290.0
351,1430.0
352,1490.0
353,1560.0
354,1480.0
355,1480.0
356,1410.0
357,1520.0
358,1560.0
359,1440.0
360,1480.0
361,1380.0
362,1560.0
363,1560.0
364,1480.0
365,1560.0
366,1470.0
367,1560.0
368,1340.0
369,1540.0
370,1470.0
371,1530.0
372,1520.0
373,1470.0
374,1500.0
375,1560.0
376,1560.0
377,1440.0
378,1440.0
379,1560.0
380,1560.0
381,1530.0
382,1440.0
383,1530.0
384,1500.0
385,1380.0
386,1460.0
387,1470.0
388,1380.0
389,1560.0
390,1530.0
391,1390.0
392,1340.0
393,1540.0
394,1560.0
395,1530.0
396,1520.0
397,1560.0
398,1460.0
399,1550.0
400,1440.0
401,1510.0
402,1440.0
403,1410.0
404,1540.0
405,1550.0
406,1530.0
407,1500.0
408,1520.0
409,1440.0
410,1430.0
411,1530.0
412,1530.0
413,1470.0
414,1500.0
415,1420.0
416,1530.0
417,1510.0
418,1560.0
419,1520.0
420,1560.0
421,1560.0
422,1520.0
423,1560.0
424,1470.0
425,1560.0
426,1480.0
427,1440.0
428,1560.0
429,1390.0
430,1380.0
431,1540.0
432,1550.0
433,1560.0
434,1500.0
435,1480.0
436,1560.0
437,1500.0
438,1560.0
439,1520.0
440,1560.0
441,1410.0
442,1360.0
443,1560.0
444,1500.0
445,1470.0
446,1510.0
447,1440.0
448,1560.0
449,1500.0
450,1540.0
451,1520.0
452,1440.0
453,1560.0
454,1520.0
455,1430.0
456,1480.0
457,1560.0
458,1450.0
459,1460.0
460,1400.0
461,1440.0
462,1540.0
463,1560.0
464,1460.0
465,1420.0
466,1560.0
467,1560.0
468,1560.0
469,1510.0
470,1550.0
471,1470.0
472,1410.0
473,1520.0
474,1560.0
475,1530.0
476,1400.0
477,1550.0
478,1560.0
479,1540.0
480,1430.0
481,1560.0
482,1440.0
483,1420.0
484,1410.0
485,1560.0
486,1560.0
487,1560.0
488,1480.0
489,1560.0
490,1560.0
491,1460.0
492,1560.0
493,1540.0
494,1340.0
495,1530.0
496,1520.0
497,1400.0
498,1490.0
499,1540.0
500,1540.0
501,1520.0
502,1560.0
503,1460.0
504,1560.0
505,1530.0
506,1520.0
507,1450.0
508,1500.0
509,1550.0
510,1480.0
511,1470.0
512,1440.0
513,1560.0
514,1440.0
515,1430.0
516,1480.0
517,1460.0
518,1490.0
519,1380.0
520,1560.0
521,1380.0
522,1520.0
523,1560.0
524,1480.0
525,1540.0
526,1530.0
527,1400.0
528,1440.0
529,1310.0
530,1320.0
531,1560.0
532,1460.0
533,1560.0
534,1560.0
535,1380.0
536,1560.0
537,1560.0
538,1530.0
539,1430.0
540,1430.0
541,1500.0
542,1500.0
543,1510.0
544,1560.0
545,1470.0
546,1440.0
547,1480.0
548,1480.0
549,1320.0
550,1420.0
551,1440.0
552,1560.0
553,1560.0
554,1560.0
555,1490.0
556,1480.0
557,1480.0
558,1400.0
559,1480.0
560,1290.0
561,1500.0
562,1520.0
563,1440.0
564,1540.0
565,1430.0
566,1470.0
567,1410.0
568,1560.0
569,1540.0
570,1380.0
571,1560.0
572,1400.0
573,1470.0
574,1560.0
575,1560.0
576,1480.0
577,1500.0
578,1480.0
579,1470.0
580,1470.0
581,1550.0
582,1400.0
583,1440.0
584,1460.0
585,1510.0
586,1560.0
587,1530.0
588,1440.0
589,1560.0
590,1520.0
591,1440.0
592,1560.0
593,1350.0
594,1560.0
595,1450.0
596,1370.0
597,1560.0
598,1540.0
599,1540.0
600,1520.0
601,1470.0
602,1440.0
603,1270.0
604,1560.0
605,1500.0
606,1400.0
607,1480.0
608,1440.0
609,1440.0
610,1560.0
611,1380.0
612,1520.0
613,1500.0
614,1510.0
615,1470.0
616,1560.0
617,1530.0
618,1440.0
619,1500.0
620,1530.0
621,1500.0
622,1410.0
623,1400.0
624,1440.0
625,1450.0
626,1520.0
627,1560.0
628,1560.0
629,1560.0
630,1560.0
631,1470.0
632,1500.0
633,1400.0
634,1310.0
635,1340.0
636,1470.0
637,1400.0
638,1520.0
639,1490.0
640,1270.0
641,1530.0
642,1400.0
643,1480.0
644,1550.0
645,1320.0
646,1500.0
647,1560.0
648,1460.0
649,1420.0
650,1430.0
651,1480.0
652,1460.0
653,1370.0
654,1460.0
655,1420.0
656,1550.0
657,1560.0
658,1510.0
659,1460.0
660,1330.0
661,1560.0
662,1430.0
663,1480.0
664,1530.0
665,1320.0
666,1430.0
667,1420.0
668,1350.0
669,1240.0
670,1200.0
671,1110.0
672,1070.0
673,920.0
674,740.0
675,690.0
676,570.0
677,730.0
678,660.0
679,570.0
680,630.0
681,610.0
682,640.0
683,720.0
684,620.0
685,670.0
686,620.0
687,600.0
688,480.0
689,600.0
690,700.0
691,620.0
692,620.0
693,670.0
694,670.0
695,700.0
696,690.0
697,770.0
698,670.0
699,620.0
700,620.0
701,490.0
702,690.0
703,620.0
704,560.0
705,620.0
706,610.0
707,540.0
708,750.0
709,670.0
710,680.0
711,800.0
712,530.0
713,630.0
714,730.0
715,740.0
716,520.0
717,620.0
718,640.0
719,720.0
720,650.0
721,620.0
722,560.0
723,670.0
724,710.0
725,710.0
726,630.0
727,620.0
728,580.0
729,670.0
730,600.0
731,710.0
732,670.0
733,650.0
734,620.0
735,640.0
736,600.0
737,650.0
738,580.0
739,620.0
740,620.0
741,620.0
742,480.0
743,600.0
744,710.0
745,660.0
746,690.0
747,550.0
748,730.0
749,540.0
750,550.0
751,680.0
752,600.0
753,640.0
754,650.0
755,640.0
756,620.0
757,620.0
758,620.0
759,580.0
760,840.0
761,500.0
762,630.0
763,500.0
764,740.0
765,640.0
766,620.0
767,710.0
768,760.0
769,580.0
770,560.0
771,620.0
772,610.0
773,620.0
774,740.0
775,640.0
776,770.0
777,690.0
778,640.0
779,680.0
780,620.0
781,710.0
782,770.0
783,620.0
784,650.0
785,810.0
786,680.0
787,640.0
788,620.0
789,620.0
790,660.0
791,530.0
792,710.0
793,730.0
794,530.0
795,620.0
796,620.0
797,680.0
798,610.0
799,640.0
800,540.0
801,620.0
802,600.0
803,610.0
804,640.0
805,620.0
806,620.0
807,660.0
808,680.0
809,560.0
810,660.0
811,640.0
812,660.0
813,660.0
814,580.0
815,620.0
816,580.0
817,640.0
818,570.0
819,710.0
820,630.0
821,590.0
822,650.0
823,640.0
824,590.0
825,540.0
826,720.0
827,700.0
828,650.0
829,680.0
830,590.0
831,640.0
832,620.0
833,750.0
834,610.0
835,660.0
836,600.0
837,760.0
838,640.0
839,710.0
840,590.0
841,700.0
842,620.0
843,640.0
844,590.0
845,620.0
846,690.0
847,720.0
848,680.0
849,620.0
850,760.0
851,590.0
852,620.0
853,620.0
854,690.0
855,550.0
856,640.0
857,620.0
858,630.0
859,520.0
860,660.0
861,720.0
862,640.0
863,550.0
864,640.0
865,620.0
866,700.0
867,640.0
868,620.0
869,660.0
870,650.0
871,740.0
872,530.0
873,620.0
874,700.0
875,560.0
876,690.0
877,680.0
878,820.0
879,730.0
880,620.0
881,580.0
882,680.0
883,600.0
884,650.0
885,690.0
886,640.0
887,680.0
888,760.0
889,740.0
890,830.0
891,680.0
892,600.0
893,620.0
894,620.0
895,620.0
896,730.0
897,720.0
898,630.0
899,700.0
900,620.0
901,620.0
902,630.0
903,650.0
904,620.0
905,650.0
906,620.0
907,770.0
908,690.0
909,590.0
910,590.0
911,640.0
912,620.0
913,620.0
914,770.0
915,610.0
916,650.0
917,760.0
918,750.0
919,630.0
920,580.0
921,560.0
922,640.0
923,630.0
924,720.0
925,650.0
926,590.0
927,560.0
928,620.0
929,630.0
930,680.0
931,610.0
932,530.0
933,740.0
934,530.0
935,640.0
936,660.0
937,660.0
938,610.0
939,600.0
940,750.0
941,760.0
942,740.0
943,620.0
944,670.0
945,890.0
946,620.0
947,620.0
948,580.0
949,680.0
950,760.0
951,660.0
952,530.0
953,570.0
954,620.0
955,670.0
956,700.0
957,670.0
958,580.0
959,640.0
960,770.0
961,600.0
962,620.0
963,660.0
964,620.0
965,630.0
966,710.0
967,730.0
968,650.0
969,580.0
970,740.0
971,660.0
972,620.0
973,560.0
974,510.0
975,580.0
976,610.0
977,540.0
978,570.0
979,610.0
980,640.0
981,610.0
982,660.0
983,600.0
984,680.0
985,560.0
986,660.0
987,630.0
988,570.0
989,600.0
990,620.0
991,630.0
992,700.0
993,620.0
994,640.0
995,640.0
996,620.0
997,570.0
998,530.0
999,460.0
1000,520.0
1001,620.0
1002,550.0
1003,640.0
1004,580.0
1005,560.0
1006,540.0
1007,640.0
1008,620.0
1009,710.0
1010,560.0
1011,680.0
1012,660.0
1013,690.0
1014,690.0
1015,620.0
1016,620.0
1017,630.0
1018,790.0
1019,620.0
1020,560.0
1021,660.0
1022,570.0
1023,640.0
1024,620.0
1025,620.0
1026,630.0
1027,700.0
1028,620.0
1029,620.0
1030,620.0
1031,580.0
1032,620.0
1033,740.0
1034,500.0
1035,640.0
1036,640.0
1037,660.0
1038,780.0
1039,690.0
1040,680.0
1041,620.0
1042,670.0
1043,650.0
1044,640.0
1045,860.0
1046,530.0
1047,650.0
1048,810.0
1049,620.0
1050,620.0
1051,650.0
1052,620.0
1053,620.0
1054,630.0
1055,620.0
1056,620.0
1057,630.0
1058,570.0
1059,570.0
1060,580.0
1061,640.0
1062,590.0
1063,620.0
1064,600.0
1065,620.0
1066,620.0
1067,690.0
1068,620.0
1069,760.0
1070,530.0
1071,700.0
1072,510.0
1073,650.0
1074,630.0
1075,680.0
1076,670.0
1077,710.0
1078,620.0
1079,610.0
1080,740.0
1081,510.0
1082,590.0
1083,600.0
1084,550.0
1085,670.0
1086,820.0
1087,670.0
1088,700.0
1089,450.0
1090,680.0
1091,610.0
1092,560.0
1093,690.0
1094,620.0
1095,650.0
1096,560.0
1097,680.0
1098,630.0
1099,640.0
1100,510.0
1101,680.0
1102,650.0
1103,680.0
1104,580.0
1105,620.0
1106,620.0
1107,600.0
1108,650.0
1109,670.0
1110,830.0
1111,630.0
1112,710.0
1113,690.0
1114,710.0
1115,620.0
1116,760.0
1117,710.0
1118,650.0
1119,590.0
1120,560.0
1121,750.0
1122,610.0
1123,660.0
1124,680.0
1125,630.0
1126,710.0
1127,660.0
1128,820.0
1129,620.0
1130,740.0
1131,650.0
1132,620.0
1133,620.0
1134,630.0
1135,700.0
1136,670.0
1137,590.0
1138,700.0
1139,700.0
1140,570.0
1141,710.0
1142,660.0
1143,640.0
1144,540.0
1145,580.0
1146,750.0
1147,740.0
1148,640.0
1149,580.0
1150,660.0
1151,620.0
1152,620.0
1153,540.0
1154,750.0
1155,700.0
1156,700.0
1157,590.0
1158,620.0
1159,650.0
1160,680.0
1161,620.0
1162,650.0
1163,720.0
1164,600.0
1165,610.0
1166,720.0
1167,640.0
1168,560.0
1169,640.0
1170,780.0
1171,780.0
1172,620.0
1173,650.0
1174,710.0
1175,640.0
1176,640.0
1177,620.0
1178,710.0
1179,620.0
1180,620.0
1181,710.0
1182,910.0
1183,620.0
1184,620.0
1185,630.0
1186,590.0
1187,700.0
1188,660.0
1189,830.0
1190,590.0
1191,670.0
1192,660.0
1193,680.0
1194,680.0
1195,620.0
1196,600.0
1197,640.0
1198,660.0
1199,520.0
1200,600.0
1201,660.0
1202,640.0
1203,620.0
1204,750.0
1205,620.0
1206,680.0
1207,710.0
1208,640.0
1209,650.0
1210,670.0
1211,650.0
1212,450.0
1213,740.0
1214,620.0
1215,620.0
1216,650.0
1217,660.0
1218,700.0
1219,580.0
1220,660.0
1221,680.0
1222,500.0
1223,640.0
1224,600.0
